source_uri,domain_url,newspaper_name,newspaper_url,country_name,country_url,rank_in_country,status,dominant_language,language_percentage,rerun,rerun_keyword_only,need_scrape
novilist.hr,http://www.novilist.hr, Novi List,http://www.4imn.com/reviews/13991.htm,Croatia,http://www.4imn.com/hr/,5,success,hrv,100.0,,,
idnes.cz,http://www.idnes.cz, Mladá fronta Dnes,http://www.4imn.com/reviews/372.htm,Czech Republic,http://www.4imn.com/cz/,1,success,ces,100.0,,,
denik.cz,http://www.denik.cz, Denik,http://www.4imn.com/reviews/18587.htm,Czech Republic,http://www.4imn.com/cz/,2,failed,ces,100.0,Yes,,
blesk.cz,http://www.blesk.cz, Blesk,http://www.4imn.com/reviews/4856.htm,Czech Republic,http://www.4imn.com/cz/,3,success,ces,100.0,,,
lidovky.cz,http://www.lidovky.cz, Lidové noviny,http://www.4imn.com/reviews/371.htm,Czech Republic,http://www.4imn.com/cz/,4,success,ces,100.0,,,
ihned.cz,http://ihned.cz, Hospodárské noviny,http://www.4imn.com/reviews/373.htm,Czech Republic,http://www.4imn.com/cz/,5,success,ces,100.0,,,
ekstrabladet.dk,http://ekstrabladet.dk, Ekstra Bladet,http://www.4imn.com/reviews/380.htm,Denmark,http://www.4imn.com/dk/,1,success,dan,100.0,,,
bt.dk,http://www.bt.dk, B.T.,http://www.4imn.com/reviews/381.htm,Denmark,http://www.4imn.com/dk/,2,failed,dan,88.89,Yes,,
politiken.dk,http://politiken.dk, Politiken,http://www.4imn.com/reviews/383.htm,Denmark,http://www.4imn.com/dk/,3,success,dan,100.0,,,
jyllands-posten.dk,http://jyllands-posten.dk, Jyllands-Posten,http://www.4imn.com/reviews/382.htm,Denmark,http://www.4imn.com/dk/,4,success,dan,100.0,,,
berlingske.dk,https://www.berlingske.dk, Berlingske Tidende,http://www.4imn.com/reviews/384.htm,Denmark,http://www.4imn.com/dk/,5,success,dan,100.0,,,
postimees.ee,http://www.postimees.ee, Postimees,http://www.4imn.com/reviews/418.htm,Estonia,http://www.4imn.com/ee/,1,success,est,100.0,,,
parnu.postimees.ee,http://parnu.postimees.ee, Pärnu Postimees,http://www.4imn.com/reviews/14277.htm,Estonia,http://www.4imn.com/ee/,2,success,est,100.0,,,
sakala.postimees.ee,http://sakala.postimees.ee, Sakala,http://www.4imn.com/reviews/14282.htm,Estonia,http://www.4imn.com/ee/,3,success,est,100.0,,,
virumaateataja.postimees.ee,http://virumaateataja.postimees.ee, Virumaa Teataja,http://www.4imn.com/reviews/14276.htm,Estonia,http://www.4imn.com/ee/,4,success,est,100.0,,,
jarvateataja.postimees.ee,http://jarvateataja.postimees.ee, Järva Teataja,http://www.4imn.com/reviews/14272.htm,Estonia,http://www.4imn.com/ee/,5,success,est,100.0,,,
hs.fi,http://www.hs.fi, Helsingin Sanomat,http://www.4imn.com/reviews/429.htm,Finland,http://www.4imn.com/fi/,1,success,fin,100.0,,,
iltalehti.fi,http://www.iltalehti.fi, Iltalehti,http://www.4imn.com/reviews/428.htm,Finland,http://www.4imn.com/fi/,2,failed,fin,93.33,Yes,,
is.fi,http://www.is.fi, Ilta Sanomat,http://www.4imn.com/reviews/14447.htm,Finland,http://www.4imn.com/fi/,3,success,fin,100.0,,,
kauppalehti.fi,http://www.kauppalehti.fi, Kauppalehti,http://www.4imn.com/reviews/14449.htm,Finland,http://www.4imn.com/fi/,4,success,fin,100.0,,,
aamulehti.fi,http://www.aamulehti.fi, Aamulehti,http://www.4imn.com/reviews/433.htm,Finland,http://www.4imn.com/fi/,5,success,fin,100.0,,,
lemonde.fr,http://www.lemonde.fr, Le Monde,http://www.4imn.com/reviews/444.htm,France,http://www.4imn.com/fr/,1,success,fra,80.0,,,
lefigaro.fr,http://www.lefigaro.fr, Le Figaro,http://www.4imn.com/reviews/447.htm,France,http://www.4imn.com/fr/,2,success,fra,100.0,,,
leparisien.fr,http://www.leparisien.fr, Le Parisien,http://www.4imn.com/reviews/452.htm,France,http://www.4imn.com/fr/,3,success,fra,100.0,,,
lequipe.fr,http://www.lequipe.fr, L'Equipe,http://www.4imn.com/reviews/14494.htm,France,http://www.4imn.com/fr/,4,success,fra,100.0,,,
liberation.fr,http://www.liberation.fr, Libération,http://www.4imn.com/reviews/446.htm,France,http://www.4imn.com/fr/,5,success,fra,100.0,,,
bild.de,http://www.bild.de, Bild,http://www.4imn.com/reviews/506.htm,Germany,http://www.4imn.com/de/,1,success,deu,100.0,,,
welt.de,http://www.welt.de, Die Welt,http://www.4imn.com/reviews/489.htm,Germany,http://www.4imn.com/de/,2,success,deu,100.0,,,
zeit.de,http://www.zeit.de, Die Zeit,http://www.4imn.com/reviews/491.htm,Germany,http://www.4imn.com/de/,3,success,deu,100.0,,,
sueddeutsche.de,http://www.sueddeutsche.de, Süddeutsche Zeitung,http://www.4imn.com/reviews/487.htm,Germany,http://www.4imn.com/de/,4,success,deu,100.0,,,
faz.net,http://www.faz.net, Frankfurter Allgemeine Zeitung,http://www.4imn.com/reviews/488.htm,Germany,http://www.4imn.com/de/,5,success,deu,100.0,,,
ygeia.tanea.gr,http://www.tanea.gr, Ta Nea,http://www.4imn.com/reviews/690.htm,Greece,http://www.4imn.com/gr/,1,success,ell,100.0,,,
tovima.gr,http://www.tovima.gr, To Vima,http://www.4imn.com/reviews/691.htm,Greece,http://www.4imn.com/gr/,2,success,ell,100.0,,,
kathimerini.gr,http://www.kathimerini.gr, Kathimerini,http://www.4imn.com/reviews/692.htm,Greece,http://www.4imn.com/gr/,3,success,ell,100.0,,,
naftemporiki.gr,http://www.naftemporiki.gr, Naftemporiki,http://www.4imn.com/reviews/14836.htm,Greece,http://www.4imn.com/gr/,4,success,ell,98.0,,,
ethnos.gr,http://www.ethnos.gr, Ethnos,http://www.4imn.com/reviews/14833.htm,Greece,http://www.4imn.com/gr/,5,failed,ell,100.0,Yes,,
blikk.hu,http://www.blikk.hu, Blikk,http://www.4imn.com/reviews/14903.htm,Hungary,http://www.4imn.com/hu/,1,success,hun,100.0,,,
nemzetisport.hu,http://www.nemzetisport.hu, Nemzeti Sport,http://www.4imn.com/reviews/14912.htm,Hungary,http://www.4imn.com/hu/,2,success,hun,100.0,,,
magyarnemzet.hu,https://magyarnemzet.hu, Magyar Nemzet,http://www.4imn.com/reviews/711.htm,Hungary,http://www.4imn.com/hu/,3,success,hun,100.0,,,
napi.hu,http://www.napi.hu, Napi Gazdaság,http://www.4imn.com/reviews/14911.htm,Hungary,http://www.4imn.com/hu/,4,success,hun,100.0,,,
nepszava.hu,http://nepszava.hu, Népszava,http://www.4imn.com/reviews/713.htm,Hungary,http://www.4imn.com/hu/,5,success,hun,100.0,,,
mbl.is,http://www.mbl.is, Morgunblaðið,http://www.4imn.com/reviews/722.htm,Iceland,http://www.4imn.com/is/,1,success,isl,100.0,,,
grapevine.is,http://grapevine.is, The Reykjavik Grapevine,http://www.4imn.com/reviews/14934.htm,Iceland,http://www.4imn.com/is/,2,success,eng,100.0,,,
bb.is,http://www.bb.is, Baejarins Besta,http://www.4imn.com/reviews/14941.htm,Iceland,http://www.4imn.com/is/,5,failed,isl,100.0,Yes,,
irishtimes.com,http://www.irishtimes.com, The Irish Times,http://www.4imn.com/reviews/832.htm,Ireland,http://www.4imn.com/ie/,1,success,eng,100.0,,,
independent.ie,http://www.independent.ie, The Irish Independent,http://www.4imn.com/reviews/811.htm,Ireland,http://www.4imn.com/ie/,2,success,eng,98.0,,,
irishexaminer.com,http://www.irishexaminer.com, The Irish Examiner,http://www.4imn.com/reviews/820.htm,Ireland,http://www.4imn.com/ie/,3,success,eng,100.0,,,
herald.ie,http://www.herald.ie, Evening Herald,http://www.4imn.com/reviews/15084.htm,Ireland,http://www.4imn.com/ie/,4,success,eng,100.0,,,
limerickleader.ie,http://www.limerickleader.ie, Limerick Leader,http://www.4imn.com/reviews/823.htm,Ireland,http://www.4imn.com/ie/,5,success,eng,100.0,,,
repubblica.it,http://www.repubblica.it, La Repubblica,http://www.4imn.com/reviews/853.htm,Italy,http://www.4imn.com/it/,1,success,ita,100.0,,,
corriere.it,http://www.corriere.it, Corriere della Sera,http://www.4imn.com/reviews/854.htm,Italy,http://www.4imn.com/it/,2,success,ita,100.0,,,
gazzetta.it,http://www.gazzetta.it, La Gazzetta dello Sport,http://www.4imn.com/reviews/15181.htm,Italy,http://www.4imn.com/it/,3,success,ita,100.0,,,
lastampa.it,http://www.lastampa.it, La Stampa,http://www.4imn.com/reviews/856.htm,Italy,http://www.4imn.com/it/,4,success,ita,98.0,,,
ilsole24ore.com,http://www.ilsole24ore.com,Il Sole 24 Ore,http://www.4imn.com/reviews/855.htm,Italy,http://www.4imn.com/it/,5,success,ita,100.0,,,
baltictimes.com,http://www.baltictimes.com, The Baltic Times,http://www.4imn.com/reviews/931.htm,Latvia,http://www.4imn.com/lv/,1,success,eng,100.0,,,
diena.lv,http://www.diena.lv, Diena,http://www.4imn.com/reviews/932.htm,Latvia,http://www.4imn.com/lv/,2,success,lav,100.0,,,
db.lv,http://www.db.lv, Dienas Bizness,http://www.4imn.com/reviews/15414.htm,Latvia,http://www.4imn.com/lv/,3,success,lav,100.0,,,
la.lv,http://www.la.lv, Latvijas Avize,http://www.4imn.com/reviews/15415.htm,Latvia,http://www.4imn.com/lv/,4,success,lav,100.0,,,
nra.lv,http://nra.lv, Neatkariga Rita Avize,http://www.4imn.com/reviews/928.htm,Latvia,http://www.4imn.com/lv/,5,success,lav,100.0,,,
vaterland.li,http://www.vaterland.li, Liechtensteiner Vaterland,http://www.4imn.com/reviews/940.htm,Liechtenstein,http://www.4imn.com/li/,1,success,deu,100.0,,,
volksblatt.li,http://www.volksblatt.li, Liechtensteiner Volksblatt,http://www.4imn.com/reviews/15453.htm,Liechtenstein,http://www.4imn.com/li/,2,success,deu,100.0,,,
15min.lt,http://www.15min.lt,15 Min,http://www.4imn.com/reviews/15480.htm,Lithuania,http://www.4imn.com/lt/,1,failed,lit,50.0,Yes,,
lrytas.lt,http://www.lrytas.lt, Lietuvos Rytas,http://www.4imn.com/reviews/941.htm,Lithuania,http://www.4imn.com/lt/,2,success,lit,100.0,,,
vz.lt,http://www.vz.lt, Verslo Zinios,http://www.4imn.com/reviews/15486.htm,Lithuania,http://www.4imn.com/lt/,3,success,eng,100.0,,,
kurier.lt,http://www.kurier.lt, Litovskiy Kurier,http://www.4imn.com/reviews/15484.htm,Lithuania,http://www.4imn.com/lt/,4,success,rus,100.0,,,
ve.lt,http://www.ve.lt, Vakaru Ekspresas,http://www.4imn.com/reviews/15461.htm,Lithuania,http://www.4imn.com/lt/,5,success,lit,100.0,,,
wort.lu,http://www.wort.lu, Luxemburger Wort,http://www.4imn.com/reviews/947.htm,Luxembourg,http://www.4imn.com/lu/,1,success,deu,98.0,,,
lessentiel.lu,http://www.lessentiel.lu, L'Essentiel,http://www.4imn.com/reviews/15490.htm,Luxembourg,http://www.4imn.com/lu/,2,success,fra,96.0,,,
tageblatt.lu,http://www.tageblatt.lu, Tageblatt,http://www.4imn.com/reviews/948.htm,Luxembourg,http://www.4imn.com/lu/,3,success,deu,98.0,,,
lequotidien.lu,http://www.lequotidien.lu, Le Quotidien,http://www.4imn.com/reviews/15487.htm,Luxembourg,http://www.4imn.com/lu/,4,success,fra,100.0,,,
journal.lu,http://www.journal.lu, Lëtzebuerger Journal,http://www.4imn.com/reviews/950.htm,Luxembourg,http://www.4imn.com/lu/,5,success,deu,96.0,,,
novamakedonija.com.mk,http://www.novamakedonija.com.mk, Nova Makedonija,http://www.4imn.com/reviews/958.htm,Macedonia,http://www.4imn.com/mk/,1,success,mkd,100.0,,,
slobodenpecat.mk,https://www.slobodenpecat.mk, Sloboden Pechat,http://www.4imn.com/reviews/18542.htm,Macedonia,http://www.4imn.com/mk/,2,success,mkd,100.0,,,
vecer.mk,http://vecer.mk, Vecer,http://www.4imn.com/reviews/15499.htm,Macedonia,http://www.4imn.com/mk/,3,success,mkd,100.0,,,
makedonskosonce.com,http://makedonskosonce.com, Makedonsko Sonce,http://www.4imn.com/reviews/959.htm,Macedonia,http://www.4imn.com/mk/,4,success,mkd,100.0,,,
timesofmalta.com,https://timesofmalta.com, The Times,http://www.4imn.com/reviews/968.htm,Malta,http://www.4imn.com/mt/,1,success,eng,100.0,,,
independent.com.mt,http://www.independent.com.mt, The Malta Independent,http://www.4imn.com/reviews/974.htm,Malta,http://www.4imn.com/mt/,2,success,eng,100.0,,,
maltatoday.com.mt,http://www.maltatoday.com.mt, MaltaToday.com.mt,http://www.4imn.com/reviews/970.htm,Malta,http://www.4imn.com/mt/,3,success,eng,100.0,,,
maltastar.com,http://www.maltastar.com, Malta Star,http://www.4imn.com/reviews/971.htm,Malta,http://www.4imn.com/mt/,4,success,eng,100.0,,,
kp.md,http://www.kp.md, Komsomolskaya Pravda v Moldove,http://www.4imn.com/reviews/18545.htm,Moldova,http://www.4imn.com/md/,1,success,rus,100.0,,,
timpul.md,http://www.timpul.md, Timpul de dimineata,http://www.4imn.com/reviews/15877.htm,Moldova,http://www.4imn.com/md/,2,success,ron,100.0,,,
jurnal.md,http://www.jurnal.md, Jurnal de Chisinau,http://www.4imn.com/reviews/15872.htm,Moldova,http://www.4imn.com/md/,3,success,ron,100.0,,,
vedomosti.md,http://www.vedomosti.md, Moldavskie Vedomosti,http://www.4imn.com/reviews/15874.htm,Moldova,http://www.4imn.com/md/,4,success,rus,100.0,,,
zdg.md,http://www.zdg.md, Ziarul de Garda,http://www.4imn.com/reviews/15880.htm,Moldova,http://www.4imn.com/md/,5,success,ron,100.0,,,
vijesti.me,http://www.vijesti.me, Vijesti,http://www.4imn.com/reviews/3351.htm,Montenegro,http://www.4imn.com/me/,1,success,hrv,96.0,,,
dan.co.me,http://www.dan.co.me, Dan,http://www.4imn.com/reviews/16789.htm,Montenegro,http://www.4imn.com/me/,2,success,hrv,92.0,,,
telegraaf.nl,http://www.telegraaf.nl, De Telegraaf,http://www.4imn.com/reviews/1018.htm,Netherlands,http://www.4imn.com/nl/,1,success,nld,100.0,,,
ad.nl,http://www.ad.nl, Algemeen Dagblad,http://www.4imn.com/reviews/1021.htm,Netherlands,http://www.4imn.com/nl/,2,success,nld,100.0,,,
volkskrant.nl,http://www.volkskrant.nl, De Volkskrant,http://www.4imn.com/reviews/1019.htm,Netherlands,http://www.4imn.com/nl/,3,success,nld,100.0,,,
nrc.nl,http://www.nrc.nl, NRC Handelsblad,http://www.4imn.com/reviews/1020.htm,Netherlands,http://www.4imn.com/nl/,4,success,nld,100.0,,,
trouw.nl,http://www.trouw.nl, Trouw,http://www.4imn.com/reviews/1028.htm,Netherlands,http://www.4imn.com/nl/,5,success,nld,100.0,,,
vg.no,http://www.vg.no, Verdens Gang,http://www.4imn.com/reviews/1063.htm,Norway,http://www.4imn.com/no/,1,failed,nob,100.0,Yes,,
dagbladet.no,http://www.dagbladet.no, Dagbladet,http://www.4imn.com/reviews/1064.htm,Norway,http://www.4imn.com/no/,2,success,nob,96.0,Yes,Yes,
aftenposten.no,http://www.aftenposten.no, Aftenposten,http://www.4imn.com/reviews/1065.htm,Norway,http://www.4imn.com/no/,3,failed,nob,69.23,Yes,,
dn.no,http://www.dn.no, Dagens Næringsliv,http://www.4imn.com/reviews/1067.htm,Norway,http://www.4imn.com/no/,4,success,nob,60.0,Yes,Yes,
adressa.no,http://www.adressa.no, Adresseavisen,http://www.4imn.com/reviews/1099.htm,Norway,http://www.4imn.com/no/,5,success,nob,68.0,Yes,Yes,
gazeta.pl,http://www.gazeta.pl, Gazeta Wyborcza,http://www.4imn.com/reviews/1160.htm,Poland,http://www.4imn.com/pl/,1,success,pol,100.0,,,
rp.pl,http://www.rp.pl, Rzeczpospolita,http://www.4imn.com/reviews/1164.htm,Poland,http://www.4imn.com/pl/,2,success,pol,100.0,,,
naszemiasto.pl,https://naszemiasto.pl, Nasze Miasto,http://www.4imn.com/reviews/18362.htm,Poland,http://www.4imn.com/pl/,3,success,pol,100.0,,,
se.pl,http://www.se.pl, Super Express,http://www.4imn.com/reviews/1165.htm,Poland,http://www.4imn.com/pl/,4,success,pol,100.0,,,
fakt.pl,http://www.fakt.pl, Fakt,http://www.4imn.com/reviews/16399.htm,Poland,http://www.4imn.com/pl/,5,success,pol,100.0,,,
abola.pt,http://www.abola.pt, A Bola,http://www.4imn.com/reviews/1176.htm,Portugal,http://www.4imn.com/pt/,1,success,por,100.0,,,
sol.sapo.pt,http://sol.sapo.pt, Sol,http://www.4imn.com/reviews/16478.htm,Portugal,http://www.4imn.com/pt/,2,success,por,98.0,,,
jornaleconomico.sapo.pt,https://jornaleconomico.sapo.pt, Jornal Económico,http://www.4imn.com/reviews/16476.htm,Portugal,http://www.4imn.com/pt/,3,success,por,100.0,,,
publico.pt,http://www.publico.pt, Público,http://www.4imn.com/reviews/1180.htm,Portugal,http://www.4imn.com/pt/,4,success,por,100.0,,,
record.pt,http://www.record.pt, Record,http://www.4imn.com/reviews/1177.htm,Portugal,http://www.4imn.com/pt/,5,success,por,100.0,,,
adevarul.ro,http://adevarul.ro, Adevarul,http://www.4imn.com/reviews/1207.htm,Romania,http://www.4imn.com/ro/,1,success,ron,100.0,,,
